Was ist Halma?;Ein Brettspiel;Ein Gott aus der Mythologie;Eine Süßigkeit;Eine Software;
Was bedeutet Abschach?;Doppelschach;Schachmatt;Gibt es nicht;König setzt König Schach;
Was bedeutet Gambit?;Eine Eröffnungsart beim Schachspiel;Ein Zug beim Schachspiel;Ein Ende beim Schachspiel;Ein Zug beim Mühlespiel;
Was bedeutet Remi?;Unentschieden;Vorname;Nachname;Ein Gott aus der Mythologie;
Was ist ein Croupier?;Dealer;Spieler;Schiedsrichter;Trainer;
Was ist ein Jeton?;Spielmarke;Geldstück;Stift;Brettspiel;
Was ist ein Lotto?;Glücksspiel;Schachzug;Spiel;Vorname;
Was ist Patience?;Kartenspiel;Brettspiel;Ein Zug beim Schachspiel;Unentschieden;
Was ist Roulett?;Glücksspiel;Brettspiel;Eine Eröffnungsart beim Schachspiel;Dealer;
Was ist Skat?;Kartensspiel;König setzt König Schach;Ein Gott aus der Mythologie;Spielmarke;
