Unter welchem Markenname ist Acetylsalicylsäure bekannt?;Aspirin;Dolormin;Ascorbin;Alascorbin;
Was ist passiert, wenn man sich eine Fraktur zugezogen hat?;Knochenbruch;Offener Knochenbruch;Komplizierter Knochenbruch;Schädelbasisbruch;
Welche Berufssparte leistet den "Hippokratischen Eid"?;Mediziner;Juristen;Informatiker;Kellner;
Welches Tier war 1984 Organspender für das Herz eines Babies?;Pavian;Wildschwein;Koala;Krokodil;
Wie heißt die Regenbogenhaut des Auges?;Iris;Retina;Linse;Pupille;
Wie heißt die Zeit zwischen Ansteckung und Ausbruch einer Krankheit?;Inkubationszeit;Reinkubationszeit;Freie Zeit;Gefährliche Zeit;
Wie lautet der medizinische Fachausdruck für Zahnfleischschwund?;Paradontose;Paradentose;Peradontose;Paredantose;
Wie nennt man den unteren Abschluss der menschlichen Wirbelsäule?;Steißbein;Steißfuss;Steilbein;Steilfuss;
Wie nennt man die Schleimhautentzündung von Magen und Dünndarm?;Gastritis;Gartritis;Gestritis;Gostritis;
Wozu dienen Barbiturate?;Schlafmittel;Beruigungsmittel;Stimulierendes Mittel;Droge;
