Welches ist die Göttin, der Gott: Amor?;Der römische Liebesgott;Der griechische Liebesgott;Der ägyptische Liebesgott;Der gotische Liebesgott;
Welches ist die Göttin, der Gott: Eros?;Der griechische Liebesgott;Der römische Liebesgott;Der gotische Liebesgott;Der ägyptische Liebesgott;
Welches ist die Göttin, der Gott: Mars?;Der Kriegsgott der Römer;Der Kriegsgott der Goten;Der Kriegsgott der Griechen;Der Kriegsgott der Ägypter;
Welches ist die Göttin, der Gott: Nike?;Die Göttin des Sieges;Die Göttin des Ruhmes;Die Göttin der Trauer;Die Göttin des Erfolges;
Welches ist die Göttin, der Gott: Ra?;Der ägyptische Sonnengott;Der römische Sonnengott;Der griechische Sonnengott;Der gotische Sonnengott;
Welches ist die Göttin, der Gott: Zeus?;Der oberste griechische Gott;Der oberste römische Gott;Der oberste ägyptische Gott;Der oberste gotische Gott;
Wie heißt der griechische Sonnengott?;Helios;Ra;Jupiter;Morpheus;
Wie heißt der griechische Traumgott?;Morpheus;Nut;Nike;Eros;
Wie heißt der höchste römische Gott?;Jupiter;Mars;Amor;Zeus;
Wie heißt die altägyptische Himmelsgöttin?;Nut;Nike;Ra;Morpheus;
