In welcher Religion ist der Freitag ein Ruhetag?;Islam;Christentum;Hinduismus;Buddhismus;
Das Wasser welchen Flusses dient den Hindus, um ihre Sünden abzuwaschen?;Ganges;Po;Neckar;Rhein;
Wie nennt man die Westmauer des jüdischen Tempels in Jerusalem?;Klagemauer;Jammermauer;Frustmauer;Trauermauer;
Welches Haustier wurde in Ägypten als Gott verehrt?;Katze;Hund;Kuh;Vogel;
Wie heißt der Fastenmonat des Islams?;Ramadan;Romudon;Remadan;Rumadan;
Wann wird der Fastenmonat des Islams gefeiert?;Im neunten Monat des Mondjahres;Im sechstem Monat des Mondjahres;Im siebten Monat des Mondjahres;Im dritten Monat des Mondjahres;
Durch wen wurde der Iran 1979 zur Islamischen Republik gemacht?;Ayatollah Khomeini;Ayatollahr Khomeini;Ayatollah Khomeinir;Ayatollahr Khomeinir;
Nach welcher Konfession wurde Martin Luther getauft?;Katholisch;Evangelisch;Römisch;Griechisch;
Wie heißt der Versöhnungstag bei den Juden?;Jom Kippur;Jam Kippur;Jom Kippor;Jam Kippor;
Was feiern die Juden am Paschafest?;Den Auszug der Israelis aus Ägypten;Den Auszug der Israelis aus Jerusalem;Den Auszug der Römer aus Ägypten;Den Auszug der Israelis aus Jerusalem;
